apologize,사과하다
admire,감탄하다
o'clock,정각
pilot,조종사
hour,시간
invite,초대하다
visit,방문하다
holiday,휴일
quiet,조용한
Korean,국어
cloudy,흐린
October,10월
confused,혼란스러운
different,다른
kind,친절한
rectangle,직사각형
bicycle,자전거
running,달리기
surprised,놀란
harbor,항구
soldier,군인
nurse,간호사
guard,경비원
earthquake,지진
warn,경고하다
rainy,비오는
start,시작하다
hope,바라다
agree,동의하다
leave,떠나다
fire truck,소방차
proud,자랑스러운
create,만들다
September,9월
snowy,눈오는
tennis,테니스
humid,습한
dream,꿈꾸다
shy,수줍은
volleyball,배구
athlete,운동선수
semester,학기
cooking,요리하기
train,기차
repair,고치다
mix,섞다
excited,신난
museum,박물관
jungle,정글
homework,숙제
lonely,외로운
bitter,쓴
hallway,복도
salty,짠
bee,벌
swimming,수영
niece,조카(여)
count,세다
continue,계속하다
arrange,배열하다
photographer,사진작가
triangle,삼각형
wonder,궁금해하다
cave,동굴
post office,우체국
difficult,어려운
doctor,의사
seed,씨앗
imagine,상상하다
prepare,준비하다
special,특별한
decide,결정하다
disagree,반대하다
comfortable,편안한
polite,예의바른
engineer,기술자
painter,화가
ingredient,재료
coast,해안
forget,잊다
frozen,냉동된
arrive,도착하다
singer,가수
art,미술
June,6월
swamp,늪
equal,같은
camping,캠핑
librarian,사서
March,3월
